Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Alyeska Resort,Alaska,Alaska,3939,2500,250,1,0,2,2,0,0,2,7,76,2,1,1610,113,150,60,669,85,150,550,3,0.410090972,0.450867469,0.706140351,0.434782609,0.5,0.948275862,0.092105263,0.004347826,0.026315789,0.001242236
Eaglecrest Ski Area,Alaska,Alaska,2600,1540,1200,0,0,0,0,0,4,0,4,36,1,2,640,60,45,44,350,53,90,,3,0.410090972,0.450867469,0.280701754,0.130434783,0.25,,0.111111111,0.00625,0,0
Hilltop Ski Area,Alaska,Alaska,2090,294,1796,0,0,0,0,1,0,2,3,13,1,1,30,30,150,36,69,34,152,30,3,0.410090972,0.450867469,0.013157895,0.434782609,0.25,0.051724138,0.230769231,0.1,0,0
Arizona Snowbowl,Arizona,Arizona,11500,2300,9200,0,1,0,2,2,1,2,8,55,4,2,777,104,122,81,260,89,122,,2,0.02747737,1.754539872,0.492707673,0.514767932,0.666666667,,0.145454545,0.01029601,0,0
Sunrise Park Resort,Arizona,Arizona,11100,1800,9200,0,0,1,2,3,1,0,7,65,2,1.2,800,80,115,49,250,78,104,80,2,0.02747737,1.754539872,0.507292327,0.485232068,0.333333333,1,0.107692308,0.00875,0.015384615,0.00125
Yosemite Ski & Snowboard Area,Northern California,California,7800,600,7200,0,0,0,0,1,3,1,5,10,2,0.4,88,,110,84,300,47,107,,21,0.053148111,12.82873637,0.003391398,0.04017531,0.024691358,,0.5,0.056818182,0,0
Dodge Ridge,Sierra Nevada,California,8200,1600,6600,0,0,0,1,2,5,4,12,67,5,2,862,,,69,350,78,140,,21,0.053148111,12.82873637,0.033220287,,0.061728395,,0.179104478,0.013921114,0,0
Donner Ski Ranch,Sierra Nevada,California,8012,750,7031,0,0,0,0,1,5,2,8,52,2,1.5,505,60,163,82,400,75,170,,21,0.053148111,12.82873637,0.019462001,0.059532505,0.024691358,,0.153846154,0.015841584,0,0
Mammoth Mountain Ski Area,Sierra Nevada,California,11053,3100,7953,3,2,9,1,6,4,0,25,154,7,3,3500,700,243,66,400,159,,,21,0.053148111,12.82873637,0.134885155,0.088750913,0.086419753,,0.162337662,0.007142857,0.058441558,0.002571429
Mt. Shasta Ski Park,Sierra Nevada,California,6890,1435,5500,0,0,0,0,3,0,1,4,32,2,1.1,425,225,140,34,300,59,130,,21,0.053148111,12.82873637,0.016378912,0.051132213,0.024691358,,0.125,0.009411765,0,0
Mountain High,Sierra Nevada,California,8200,1600,6600,0,0,2,2,2,5,3,14,59,1,1.6,290,275,118,95,108,84,150,73,21,0.053148111,12.82873637,0.011176199,0.043097151,0.012345679,0.124361158,0.237288136,0.048275862,0.033898305,0.006896552
Mt. Baldy,Sierra Nevada,California,8600,2100,6500,0,0,0,0,0,4,0,4,26,,2.5,400,80,175,67,178,69,200,,21,0.053148111,12.82873637,0.015415446,0.063915267,,,0.153846154,0.01,0,0
Ski China Peak,Sierra Nevada,California,8709,1679,7030,0,0,0,1,4,2,4,11,45,1,2.2,1400,150,140,62,300,83,144,,21,0.053148111,12.82873637,0.053954062,0.051132213,0.012345679,,0.244444444,0.007857143,0,0
Snow Valley,Sierra Nevada,California,7841,1041,6800,0,0,0,0,5,6,1,12,28,6,1.2,240,188,111,82,160,79,143,164,21,0.053148111,12.82873637,0.009249268,0.040540541,0.074074074,0.279386712,0.428571429,0.05,0,0
Soda Springs,Sierra Nevada,California,7352,652,6700,0,0,0,0,1,1,2,4,18,,0.4,200,20,150,83,400,50,144,,21,0.053148111,12.82873637,0.007707723,0.054784514,,,0.222222222,0.02,0,0
Sugar Bowl Resort,Sierra Nevada,California,8383,1500,6883,1,0,5,3,1,0,2,12,105,3,3,1650,375,151,80,500,125,150,,21,0.053148111,12.82873637,0.063588716,0.055149744,0.037037037,,0.114285714,0.007272727,0.047619048,0.003030303
Tahoe Donner,Sierra Nevada,California,7350,600,6750,0,0,0,1,1,0,3,5,14,2,1,120,,150,48,400,69,144,,21,0.053148111,12.82873637,0.004624634,0.054784514,0.024691358,,0.357142857,0.041666667,0,0
Arapahoe Basin Ski Area,Colorado,Colorado,13050,2530,10780,0,0,1,2,1,2,3,9,145,3,1.5,1428,125,230,73,350,85,233,,22,0.382028278,21.1347436,0.032690811,0.070595457,0.040540541,,0.062068966,0.006302521,0.006896552,0.00070028
Aspen / Snowmass,Colorado,Colorado,12510,4406,8104,3,1,15,4,3,5,9,40,336,10,5.3,5517,658,138,72,300,179,138,,22,0.382028278,21.1347436,0.126299162,0.042357274,0.135135135,,0.119047619,0.007250317,0.044642857,0.002718869
Copper Mountain Resort,Colorado,Colorado,12313,2738,9712,1,2,4,0,4,4,9,24,150,6,1.7,2527,364,164,47,300,158,164,,22,0.382028278,21.1347436,0.057849915,0.05033763,0.081081081,,0.16,0.009497428,0.026666667,0.001582905
Purgatory,Colorado,Colorado,10822,2029,8793,0,1,2,0,3,3,3,12,101,9,1.3,1605,250,130,54,260,89,130,,22,0.382028278,21.1347436,0.036742823,0.03990178,0.121621622,,0.118811881,0.007476636,0.01980198,0.001246106
